initial_alias,converted_alias,name,description,namespace
CCL24,ENSG00000106178,CCL24,C-C motif chemokine ligand 24 [Source:HGNC Symbol;Acc:HGNC:10623],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPB1,ENSG00000106211,HSPB1,heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NPTX2,ENSG00000106236,NPTX2,neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PDAP1,ENSG00000106244,PDAP1,PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BUD31,ENSG00000106245,BUD31,BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PTCD1,ENSG00000106246,PTCD1,pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:22198],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CYP3A5,ENSG00000106258,CYP3A5,cytochrome P450 family 3 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:2638],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZKSCAN1,ENSG00000106261,ZKSCAN1,zinc finger with KRAB and SCAN domains 1 [Source:HGNC Symbol;Acc:HGNC:13101],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EIF3B,ENSG00000106263,EIF3B,eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SNX8,ENSG00000106266,SNX8,sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NUDT1,ENSG00000106268,NUDT1,nudix hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:8048],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PTPRZ1,ENSG00000106278,PTPRZ1,protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TAF6,ENSG00000106290,TAF6,TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
WASL,ENSG00000106299,WASL,WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HYAL4,ENSG00000106302,HYAL4,hyaluronidase 4 [Source:HGNC Symbol;Acc:HGNC:5323],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPAM1,ENSG00000106304,SPAM1,sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AIMP2,ENSG00000106305,AIMP2,aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TFR2,ENSG00000106327,TFR2,transferrin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11762],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FSCN3,ENSG00000106328,FSCN3,fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MOSPD3,ENSG00000106330,MOSPD3,motile sperm domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25078],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PAX4,ENSG00000106331,PAX4,paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PCOLCE,ENSG00000106333,PCOLCE,procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FBXO24,ENSG00000106336,FBXO24,F-box protein 24 [Source:HGNC Symbol;Acc:HGNC:13595],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPP1R17,ENSG00000106341,PPP1R17,protein phosphatase 1 regulatory subunit 17 [Source:HGNC Symbol;Acc:HGNC:16973],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RBM28,ENSG00000106344,RBM28,RNA binding motif protein 28 [Source:HGNC Symbol;Acc:HGNC:21863],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
USP42,ENSG00000106346,USP42,ubiquitin specific peptidase 42 [Source:HGNC Symbol;Acc:HGNC:20068],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IMPDH1,ENSG00000106348,IMPDH1,inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AGFG2,ENSG00000106351,AGFG2,ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LSM5,ENSG00000106355,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SERPINE1,ENSG00000106366,SERPINE1,serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AP1S1,ENSG00000106367,AP1S1,adaptor related protein complex 1 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:559],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MOGAT3,ENSG00000106384,MOGAT3,monoacylglycerol O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:23249],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C1GALT1,ENSG00000106392,C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24337]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLOD3,ENSG00000106397,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RPA3,ENSG00000106399,RPA3,replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNHIT1,ENSG00000106400,ZNHIT1,zinc finger HIT-type containing 1 [Source:HGNC Symbol;Acc:HGNC:21688],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLDN15,ENSG00000106404,CLDN15,claudin 15 [Source:HGNC Symbol;Acc:HGNC:2036],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NOBOX,ENSG00000106410,NOBOX,NOBOX oogenesis homeobox [Source:HGNC Symbol;Acc:HGNC:22448],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GLCCI1,ENSG00000106415,GLCCI1,glucocorticoid induced 1 [Source:HGNC Symbol;Acc:HGNC:18713],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MYL10,ENSG00000106436,MYL10,myosin light chain 10 [Source:HGNC Symbol;Acc:HGNC:29825],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PHF14,ENSG00000106443,PHF14,PHD finger protein 14 [Source:HGNC Symbol;Acc:HGNC:22203],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NRF1,ENSG00000106459,NRF1,nuclear respiratory factor 1 [Source:HGNC Symbol;Acc:HGNC:7996],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM106B,ENSG00000106460,TMEM106B,transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EZH2,ENSG00000106462,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CEP41,ENSG00000106477,CEP41,centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF862,ENSG00000106479,ZNF862,zinc finger protein 862 [Source:HGNC Symbol;Acc:HGNC:34519],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SFRP4,ENSG00000106483,SFRP4,secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MEST,ENSG00000106484,MEST,mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MEOX2,ENSG00000106511,MEOX2,mesenchyme homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7014],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ANKMY2,ENSG00000106524,ANKMY2,ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ACTR3C,ENSG00000106526,ACTR3C,actin related protein 3C [Source:HGNC Symbol;Acc:HGNC:37282],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
POU6F2,ENSG00000106536,POU6F2,POU class 6 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21694],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TSPAN13,ENSG00000106537,TSPAN13,tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RARRES2,ENSG00000106538,RARRES2,retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AGR2,ENSG00000106541,AGR2,"anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AHR,ENSG00000106546,AHR,aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CHCHD3,ENSG00000106554,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GIMAP2,ENSG00000106560,GIMAP2,"GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM176B,ENSG00000106565,TMEM176B,transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GLI3,ENSG00000106571,GLI3,GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PSMA2,ENSG00000106588,PSMA2,proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MRPL32,ENSG00000106591,MRPL32,mitochondrial ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:14035],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
COA1,ENSG00000106603,COA1,cytochrome c oxidase assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:21868],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BLVRA,ENSG00000106605,BLVRA,biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
URGCP,ENSG00000106608,URGCP,upregulator of cell proliferation [Source:HGNC Symbol;Acc:HGNC:30890],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM248,ENSG00000106609,TMEM248,transmembrane protein 248 [Source:HGNC Symbol;Acc:HGNC:25476],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RHEB,ENSG00000106615,RHEB,"Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PRKAG2,ENSG00000106617,PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AEBP1,ENSG00000106624,AEBP1,AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
POLD2,ENSG00000106628,POLD2,"DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MYL7,ENSG00000106631,MYL7,myosin light chain 7 [Source:HGNC Symbol;Acc:HGNC:21719],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GCK,ENSG00000106633,GCK,glucokinase [Source:HGNC Symbol;Acc:HGNC:4195],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BCL7B,ENSG00000106635,BCL7B,BAF chromatin remodeling complex subunit BCL7B [Source:HGNC Symbol;Acc:HGNC:1005],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
YKT6,ENSG00000106636,YKT6,YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TBL2,ENSG00000106638,TBL2,transducin beta like 2 [Source:HGNC Symbol;Acc:HGNC:11586],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GALNTL5,ENSG00000106648,GALNTL5,polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLIP2,ENSG00000106665,CLIP2,CAP-Gly domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EIF4H,ENSG00000106682,EIF4H,eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LIMK1,ENSG00000106683,LIMK1,LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPATA6L,ENSG00000106686,SPATA6L,spermatogenesis associated 6 like [Source:HGNC Symbol;Acc:HGNC:25472],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SLC1A1,ENSG00000106688,SLC1A1,solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LHX2,ENSG00000106689,LHX2,LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FKTN,ENSG00000106692,FKTN,fukutin [Source:HGNC Symbol;Acc:HGNC:3622],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FSD1L,ENSG00000106701,FSD1L,fibronectin type III and SPRY domain containing 1 like [Source:HGNC Symbol;Acc:HGNC:13753],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CNTNAP3,ENSG00000106714,CNTNAP3,contactin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:13834],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPIN1,ENSG00000106723,SPIN1,spindlin 1 [Source:HGNC Symbol;Acc:HGNC:11243],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NMRK1,ENSG00000106733,NMRK1,nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:HGNC:26057],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM245,ENSG00000106771,TMEM245,transmembrane protein 245 [Source:HGNC Symbol;Acc:HGNC:1363],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PRUNE2,ENSG00000106772,PRUNE2,prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MEGF9,ENSG00000106780,MEGF9,multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TRIM14,ENSG00000106785,TRIM14,tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CORO2A,ENSG00000106789,CORO2A,coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TGFBR1,ENSG00000106799,TGFBR1,transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SEC61B,ENSG00000106803,SEC61B,SEC61 translocon subunit beta [Source:HGNC Symbol;Acc:HGNC:16993],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C5,ENSG00000106804,C5,complement C5 [Source:HGNC Symbol;Acc:HGNC:1331],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
OGN,ENSG00000106809,OGN,osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ASPN,ENSG00000106819,ASPN,asporin [Source:HGNC Symbol;Acc:HGNC:14872],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ECM2,ENSG00000106823,ECM2,extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TLE4,ENSG00000106829,TLE4,"TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LHX6,ENSG00000106852,LHX6,LIM homeobox 6 [Source:HGNC Symbol;Acc:HGNC:21735],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PTGR1,ENSG00000106853,PTGR1,prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SUSD1,ENSG00000106868,SUSD1,sushi domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25413],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AMBP,ENSG00000106927,AMBP,alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AKNA,ENSG00000106948,AKNA,AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TNFSF8,ENSG00000106952,TNFSF8,TNF superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11938],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DNM1,ENSG00000106976,DNM1,dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ENG,ENSG00000106991,ENG,endoglin [Source:HGNC Symbol;Acc:HGNC:3349],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AK1,ENSG00000106992,AK1,adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CDC37L1,ENSG00000106993,CDC37L1,"cell division cycle 37 like 1, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:17179]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RLN2,ENSG00000107014,RLN2,relaxin 2 [Source:HGNC Symbol;Acc:HGNC:10027],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RLN1,ENSG00000107018,RLN1,relaxin 1 [Source:HGNC Symbol;Acc:HGNC:10026],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLGRKT,ENSG00000107020,PLGRKT,plasminogen receptor with a C-terminal lysine [Source:HGNC Symbol;Acc:HGNC:23633],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TBC1D13,ENSG00000107021,TBC1D13,TBC1 domain family member 13 [Source:HGNC Symbol;Acc:HGNC:25571],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RIC1,ENSG00000107036,RIC1,"RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KDM4C,ENSG00000107077,KDM4C,lysine demethylase 4C [Source:HGNC Symbol;Acc:HGNC:17071],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DOCK8,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KANK1,ENSG00000107104,KANK1,KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ELAVL2,ENSG00000107105,ELAVL2,ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NCS1,ENSG00000107130,NCS1,neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TESK1,ENSG00000107140,TESK1,testis associated actin remodelling kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KCNT1,ENSG00000107147,KCNT1,potassium sodium-activated channel subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:18865],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CA9,ENSG00000107159,CA9,carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FUBP3,ENSG00000107164,FUBP3,far upstream element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4005],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TYRP1,ENSG00000107165,TYRP1,tyrosinase related protein 1 [Source:HGNC Symbol;Acc:HGNC:12450],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CREB3,ENSG00000107175,CREB3,cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RGP1,ENSG00000107185,RGP1,"RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MPDZ,ENSG00000107186,MPDZ,multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LHX3,ENSG00000107187,LHX3,LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DDX58,ENSG00000107201,RIGI,RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102],UNIPROT_GN
EDF1,ENSG00000107223,EDF1,endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PIP5K1B,ENSG00000107242,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GLIS3,ENSG00000107249,GLIS3,GLIS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:28510],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
BAG1,ENSG00000107262,BAG1,BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RAPGEF1,ENSG00000107263,RAPGEF1,Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NPDC1,ENSG00000107281,NPDC1,"neural proliferation, differentiation and control 1 [Source:HGNC Symbol;Acc:HGNC:7899]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
APBA1,ENSG00000107282,APBA1,amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SETX,ENSG00000107290,SETX,senataxin [Source:HGNC Symbol;Acc:HGNC:445],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SH3GL2,ENSG00000107295,SH3GL2,"SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PTGDS,ENSG00000107317,PTGDS,prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
